,2015~2020 야구선수,,,데이터 출처: STATIZ,,,"롯데,삼성,해태",,,,,,,,,,,,,,,,,,,,,,,,,
선수명,연도,팀,나이,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,연봉(만 원)
김기훈,2020,KIA,20,22,0,0,7,0,4,0,1,52,35,31,238,58,11,1,8,31,0,2,39,0,3,5.37,5.96,1.71,89.5,80.4,0.23,3500
박정수,2015,KIA,19,19,0,0,4,0,3,0,0,42.1,31,26,197,47,12,1,4,19,0,6,25,2,4,5.53,5.43,1.56,89.2,90.8,0.08,2700
박정수,2018,KIA,22,11,0,0,0,0,0,0,0,13.1,18,17,66,17,4,2,2,5,0,3,16,0,0,11.48,5.18,1.65,44.7,99.5,-0.43,3300
박정수,2019,KIA,23,3,0,0,0,0,0,0,0,5,7,7,27,10,2,0,0,4,0,1,2,0,0,12.6,5.6,2.8,33.3,74.8,-0.2,3300
박정수,2020,KIA,24,22,0,0,3,1,1,0,2,33,17,17,144,25,5,1,4,24,0,6,29,0,1,4.64,6.1,1.49,105,79.2,0.49,3300
고영창,2019,KIA,30,55,0,0,0,1,3,1,10,54,22,21,243,63,8,3,2,14,2,8,22,0,2,3.5,4.18,1.43,119.8,100.2,1.19,2800
고영창,2020,KIA,31,48,0,0,0,1,1,1,2,58,46,44,275,88,19,0,3,17,2,5,23,2,6,6.83,4.47,1.81,70.3,106.9,0.12,2800
김현수,2020,KIA,20,15,0,0,4,1,2,0,0,32.1,27,26,167,41,7,3,3,31,0,2,19,0,1,7.24,6.65,2.23,66.3,72.1,0.1,3000
홍건희,2015,KIA,23,38,0,0,7,2,5,1,0,82,63,55,383,84,10,2,18,57,4,4,86,0,8,6.04,6.46,1.72,81.7,76.9,-0.12,4500
홍건희,2016,KIA,24,50,0,0,9,4,4,4,5,90.1,53,50,407,103,17,1,10,41,2,1,83,0,8,4.98,4.72,1.59,104,110.8,1.52,4500
홍건희,2017,KIA,25,31,0,0,2,1,1,0,0,59,44,42,270,83,17,2,5,21,0,2,41,0,7,6.41,4.62,1.76,77.6,108,0.02,9000
홍건희,2018,KIA,26,11,0,0,1,0,1,0,0,16.2,20,19,88,32,8,1,4,7,1,1,13,0,0,10.26,6.65,2.34,50,77.4,-0.23,8000
홍건희,2019,KIA,27,21,0,0,14,2,9,0,0,81.2,70,65,381,112,20,1,12,33,0,3,52,0,7,7.16,5.36,1.78,58.5,77.7,-1.1,8000
황인준,2018,KIA,27,37,0,0,2,3,1,0,1,52.2,31,29,229,58,13,1,9,12,0,6,35,0,0,4.96,5.75,1.33,103.6,89.6,0.77,2800
황인준,2019,KIA,28,5,0,0,2,0,0,0,0,11.1,8,8,53,14,5,1,2,5,1,0,11,0,2,6.35,4.82,1.68,66,86.7,0.01,2800
황인준,2020,KIA,29,3,0,0,0,0,0,0,0,4,2,2,18,6,1,0,1,2,0,0,1,0,0,4.5,7.81,2,106.7,61.1,0.08,3700
남재현,2020,KIA,24,8,0,0,0,0,0,0,0,15.2,12,7,79,20,5,1,1,11,0,1,8,0,0,4.02,5.66,1.98,119.4,84.7,0.04,3100
김명찬,2015,KIA,23,3,0,0,0,0,0,0,0,4,0,0,16,4,0,0,0,1,0,1,2,0,1,0,4.12,1.25,,120.1,0.19,2900
김명찬,2016,KIA,24,11,0,0,0,0,0,0,1,13,7,7,59,17,4,0,1,4,0,1,10,0,2,4.85,4.41,1.62,106.9,118.6,0.23,2900
김명찬,2017,KIA,25,6,0,0,0,0,0,0,1,5,2,2,22,5,0,0,0,2,0,0,2,0,0,3.6,4.14,1.4,138,120.3,0.15,3200
김명찬,2020,KIA,28,21,0,0,0,0,1,0,1,8.2,7,6,54,13,3,0,2,12,0,2,11,0,4,6.23,8.86,2.89,77,54.2,-0.07,3500
박진태,2017,KIA,23,38,0,0,2,0,1,3,2,57.2,45,42,270,76,12,1,5,19,3,10,24,0,0,6.55,5.38,1.65,75.8,92.5,-0.12,2700
박진태,2019,KIA,25,2,0,0,2,0,1,0,0,8.1,4,4,42,10,1,0,0,6,0,3,5,0,0,4.32,5.44,1.92,97.1,77.2,0.18,2700
박진태,2020,KIA,26,12,0,0,0,0,0,0,0,18.2,27,27,105,32,7,0,9,16,0,4,14,0,0,13.02,11.54,2.57,36.9,41.4,-0.5,6000
이민우,2020,KIA,27,22,0,0,22,6,10,0,0,106,87,80,486,129,20,4,11,47,0,6,67,0,3,6.79,5.14,1.66,70.7,93.3,-0.75,4300
